p,theta,z,L,E,ω,grid_points,grid_size,finite_Nc1,large_Nc1,true_Nc1,finite_Nc2,large_Nc2,diag_Nc2,true_Nc2_diag,largeNc/finiteNc1,largeNc/finiteNc2,diagNc/finiteNc2,error1,error2,time
0.015,0.015,0.01,2.0,100,0.99,50,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:02:58.245576
0.015,0.015,0.01,2.0,100,0.99,50,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:08:53.086806
0.015,0.015,0.01,2.0,100,0.99,60,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 01:31:26.674708
0.015,0.015,0.01,2.0,100,0.99,50,2,(0.329-1.223j),(0.001-0.001j),(0.001-0.001j),(4.803-13.604j),(4.799-13.601j),(4.799-13.601j),(4.593-11.371j),0.0,1.0,1.0,0.175,0.152,0 days 01:27:09.013317
0.024,0.024,0.01,2.0,100,0.99,50,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:02:55.197269
0.024,0.024,0.01,2.0,100,0.99,50,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:03:07.275543
0.024,0.024,0.01,2.0,100,0.99,50,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:08:50.471832
0.024,0.024,0.01,2.0,100,0.99,60,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 01:31:28.975306
0.024,0.024,0.01,2.0,100,0.99,50,2,(0.33-1.225j),(0.002-0.003j),(0.002-0.003j),(4.803-13.606j),(4.799-13.602j),(4.799-13.602j),(4.593-11.373j),0.01,1.0,1.0,0.175,0.152,0 days 01:33:20.672038
0.036,0.037,0.01,2.0,100,0.99,50,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:08:56.728208
