p,theta,z,L,E,ω,grid_points,grid_size,finite_Nc1,large_Nc1,true_Nc1,finite_Nc2,large_Nc2,diag_Nc2,true_Nc2_diag,largeNc/finiteNc1,largeNc/finiteNc2,diagNc/finiteNc2,error1,error2,time
0.036000000000000004,0.024,0.015,2.0,100,1.52,50,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:03:31.746026
0.055999999999999994,0.037000000000000005,0.015,2.0,100,1.52,50,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:03:29.692216
0.055999999999999994,0.037000000000000005,0.015,2.0,100,1.52,50,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:03:28.970730
0.087,0.057,0.015,2.0,100,1.52,50,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:03:24.243341
0.087,0.057,0.015,2.0,100,1.52,50,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:03:31.290274
0.134,0.08800000000000001,0.015,2.0,100,1.52,50,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:03:27.827099
0.134,0.08800000000000001,0.015,2.0,100,1.52,50,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:03:35.439857
0.206,0.136,0.015,2.0,100,1.52,50,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:03:28.496192
0.206,0.136,0.015,2.0,100,1.52,50,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:03:31.217373
0.304,0.2,0.015,2.0,100,1.52,50,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:03:25.075757
0.319,0.21,0.015,2.0,100,1.52,50,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:03:21.977660
0.319,0.21,0.015,2.0,100,1.52,50,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:03:27.727977
0.4920000000000001,0.324,0.015,2.0,100,1.52,50,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:03:25.736704
0.4920000000000001,0.324,0.015,2.0,100,1.52,50,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:03:23.577684
0.76,0.5,0.015,2.0,100,1.52,50,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:03:34.436361
